nazwa,Substancja czynna,postac,dawka,Zawartosc opakowania,Kod EAN lub inny kod odpowiadajacy kodowi EAN,Poziom odplatnosci,Zakres wskazan objetych refundacja,Wysokosc doplaty swiadczeniobiorcy
Oxsoralen,8-Methoxypsoralenum, kaps. miekkie, 10 mg,50 szt. (5 blist.po 10 szt.),05909990244713,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,27"
Adeksa,Acarbosum, tabl., 100 mg,30 szt.,05909990893423,30p,Cukrzyca,"4,29"
Adeksa,Acarbosum, tabl., 50 mg,30 szt.,05909990893386,30p,Cukrzyca,"2,54"
Glucobay 100,Acarbosum, tabl., 100 mg,30 szt. (2 blist.po 15 szt.),05909990285518,30p,Cukrzyca,"7,57"
Glucobay 50,Acarbosum, tabl., 50 mg,30 szt. (2 blist.po 15 szt.),05909990285419,30p,Cukrzyca,"4,92"
Glucobay 50,Acarbosum, tabl., 50 mg,90 szt. (6 blist.po 15 szt.),05909990335541,30p,Cukrzyca,"13,17"
Acebutolol Aurovitas,Acebutololi hydrochloridum, tabl. powl., 200 mg,30 szt.,05909991370916,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,60"
Acebutolol Aurovitas,Acebutololi hydrochloridum, tabl. powl., 400 mg,30 szt.,05909991370954,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,58"
Sectral 200,Acebutololum, tabl. powl., 200 mg,30 szt.,05909990109920,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,41"
Sectral 400,Acebutololum, tabl. powl., 400 mg,30 szt.,05909990110018,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,92"
Acenocumarol WZF,Acenocoumarolum, tabl., 4 mg,60 szt.,05909990055715,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,12"
Hascovir,Aciclovirum, tabl., 200 mg,30 szt. (2 blist.po 15 szt.),05909991049515,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,58"
Hascovir,Aciclovirum, tabl., 400 mg,30 szt. (2 blist.po 15 szt.),05909991052218,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,29"
Hascovir,Aciclovirum, tabl., 800 mg,30 szt.,05909990835782,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"21,30"
Heviran,Aciclovirum, tabl. powl., 200 mg,30 szt. (3 blist.po 10 szt.),05909990840014,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,47"
Heviran,Aciclovirum, tabl. powl., 400 mg,30 szt. (3 blist.po 10 szt.),05909990840113,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"15,29"
Heviran,Aciclovirum, tabl. powl., 800 mg,30 szt. (3 blist.po 10 szt.),05909990840229,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"24,70"
Alendran 70,Acidum alendronicum, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),05909990072156,30p,Osteoporoza,"3,60"
Alendrogen,Acidum alendronicum, tabl., 70 mg,4 szt.,05909990623112,30p,Osteoporoza,"3,02"
Alendronat Bluefish,Acidum alendronicum, tabl., 70 mg,4 szt.,05909990737673,30p,Osteoporoza,"2,64"
Alendronic Acid Genoptim,Acidum alendronicum, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),05909990675302,30p,Osteoporoza,"2,81"
Ostemax 70 comfort,Acidum alendronicum, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),05909991081713,30p,Osteoporoza,"3,68"
Ostenil 70,Acidum alendronicum, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),05909991087418,30p,Osteoporoza,"3,82"
Ostenil 70,Acidum alendronicum, tabl., 70 mg,6 szt. (1 blist.po 6 szt.),05909991087425,30p,Osteoporoza,"5,31"
Ostolek,Acidum alendronicum, tabl. powl., 70 mg,4 szt. (1 blist.po 4 szt.),05909991032517,30p,Osteoporoza,"3,57"
Acidum folicum Richter,Acidum folicum, tabl., 15 mg,30 szt. (1 blist.po 30 szt.),05909990109319,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,88"
